,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
36,Martin Ødegaard,Arsenal,MID,309,76.0,6.7,2,1.0,0.29,0.38,0.11,-0.62,0,1.3,0.38,1.82,0.53,2.0,0.58,2.31,2.83,27.0,26.0,27.5,2.38,26.9,26.5,3,0.87,0,2,0.58,6,12,3.5,21,6.2,0,8.0,15.0,3.0
37,Keane Lewis-Potter,Brentford,MID,328,82.0,5.5,1,1.05,0.29,0.82,0.22,-0.23,1,0.78,0.21,0.8,0.22,2.0,0.55,1.84,1.86,19.0,18.6,18.7,1.15,18.8,11.8,1,0.27,1,1,0.27,7,6,1.65,29,8.01,0,6.65,86.0,3.0
38,Joe Willock,Newcastle,MID,168,66.0,5.0,1,0.53,0.28,0.79,0.42,0.26,0,0.2,0.11,0.4,0.21,1.0,0.54,0.72,0.92,11.0,9.2,9.8,0.58,9.4,8.6,1,0.54,1,1,0.54,6,1,0.54,8,4.34,0,6.8,460.0,3.0
39,Roméo Lavia,Chelsea,MID,262,64.0,5.0,1,0.75,0.26,1.3,0.45,0.55,0,0.11,0.04,0.12,0.04,1.0,0.34,0.86,0.87,11.0,10.1,10.1,0.89,11.0,14.8,0,0.0,1,2,0.69,2,2,0.69,31,10.81,0,6.95,161.0,3.0
40,Daizen Maeda,Ipswich Town,MID,246,72.0,5.4,0,0.72,0.26,0.22,0.08,-0.5,0,0.01,0.0,0.0,0.0,0.0,0.0,0.72,0.71,7.0,10.6,10.6,1.03,11.6,9.9,0,0.0,1,2,0.73,3,0,0.0,19,7.04,0,6.13,562.0,3.0
41,Kevin Schade,Brentford,MID,358,89.0,6.0,3,0.98,0.25,1.17,0.29,0.19,0,0.3,0.08,0.22,0.06,3.0,0.75,1.28,1.2,30.0,20.8,20.6,1.15,20.8,14.3,0,0.0,0,5,1.26,10,3,0.75,27,6.81,1,7.58,94.0,3.0
42,Jack Clarke,Ipswich Town,MID,106,62.0,5.4,1,0.3,0.25,1.37,1.16,1.07,0,0.04,0.03,0.1,0.08,1.0,0.85,0.34,0.4,9.0,5.6,5.8,0.54,6.3,17.0,0,0.0,0,2,1.7,4,2,1.7,6,5.14,0,6.93,313.0,3.0
43,Julio Enciso,Ipswich Town,MID,341,85.0,5.5,0,0.92,0.24,0.96,0.25,0.04,2,0.85,0.22,1.07,0.28,2.0,0.53,1.76,1.99,13.0,14.1,14.8,1.56,16.4,14.3,2,0.53,1,3,0.79,14,5,1.32,26,6.88,0,6.93,591.0,3.0
44,Rayan Cherki,Man City,MID,220,64.0,7.8,2,0.59,0.24,1.49,0.61,0.9,2,1.41,0.58,1.76,0.72,4.0,1.64,2.0,2.35,26.0,17.2,18.2,0.77,18.0,25.0,3,1.23,0,3,1.23,7,10,4.09,7,2.89,0,7.45,399.0,3.0
45,Kai Havertz,Arsenal,FWD,348,87.0,7.6,2,0.89,0.23,2.17,0.56,1.28,0,0.34,0.09,0.33,0.09,2.0,0.52,1.24,1.22,17.0,13.6,13.6,2.38,13.6,7.5,0,0.0,1,5,1.29,8,5,1.29,10,2.59,0,6.95,26.0,4.0
46,Ephron Mason-Clark,Coventry City,MID,189,62.0,5.4,0,0.49,0.23,0.23,0.11,-0.26,0,0.06,0.03,0.06,0.03,0.0,0.0,0.56,0.55,4.0,6.7,6.6,0.18,6.8,6.2,0,0.0,0,2,0.95,3,1,0.48,13,6.29,0,6.4,186.0,3.0
47,Emiliano Buendía,Aston Villa,MID,314,78.0,5.9,0,0.78,0.22,0.0,0.0,-0.78,0,0.17,0.05,0.14,0.04,0.0,0.0,0.95,0.92,9.0,13.4,13.3,1.04,13.3,6.6,0,0.0,1,0,0.0,6,2,0.57,19,5.5,0,6.35,41.0,3.0
