fpl_id,gw,mins,G,A,xG,xA,Pts,CS,dc,bps,starts,saves
568,2,8,0,0,0.04,0.0,1,0,1,1,0,0
569,2,90,0,0,0.27,0.01,2,0,4,2,1,0
570,2,75,0,0,0.02,0.0,1,0,9,6,1,0
572,2,90,0,0,0.0,0.0,10,1,0,32,1,3
575,2,70,0,0,0.03,0.13,3,1,7,17,1,0
576,2,58,0,0,0.01,0.01,0,0,7,-2,1,0
577,2,73,0,0,0.0,0.0,1,0,8,-3,1,0
579,2,13,0,0,0.0,0.01,0,0,1,-1,0,0
580,2,22,0,0,0.09,0.03,1,0,2,2,0,0
583,2,18,0,0,0.0,0.02,1,0,3,1,0,0
584,2,19,0,0,0.0,0.02,1,0,0,2,0,0
585,2,31,0,0,0.0,0.0,1,0,1,3,0,0
586,2,58,0,0,0.01,0.0,1,0,9,9,1,0
588,2,74,0,0,0.02,0.0,2,0,14,9,1,0
589,2,45,0,0,0.0,0.01,1,0,6,6,0,0
591,2,90,0,1,0.4,0.31,5,0,8,25,1,0
592,2,17,0,0,0.0,0.0,1,0,0,-1,0,0
593,2,90,0,1,0.0,0.06,11,1,8,37,1,0
594,2,10,0,0,0.0,0.0,1,0,0,3,0,0
595,2,22,0,0,0.0,0.0,1,0,1,3,0,0
597,2,90,0,0,0.0,0.0,2,0,0,8,1,1
598,2,56,0,0,0.0,0.0,1,0,6,9,0,0
600,2,16,0,0,0.0,0.01,1,0,1,6,0,0
605,2,73,1,0,0.7,0.16,8,0,7,39,1,0
611,2,12,0,0,0.0,0.0,1,0,2,4,0,0
616,2,8,0,0,0.0,0.12,1,0,1,3,0,0
617,2,7,0,0,0.0,0.0,1,0,0,3,0,0
619,2,28,0,0,0.0,0.01,1,0,6,11,0,0
621,2,8,0,0,0.1,0.0,1,0,0,3,0,0
622,2,1,0,0,0.0,0.0,1,0,0,3,0,0
1,3,90,0,0,0.0,0.01,3,0,0,15,1,4
4,3,90,0,0,0.31,0.02,2,0,7,10,1,0
7,3,66,0,0,0.03,0.1,2,0,2,5,1,0
8,3,66,0,0,0.39,0.03,2,0,1,0,1,0
9,3,23,0,0,0.0,0.0,1,0,3,3,0,0
10,3,90,0,0,0.0,0.03,2,0,6,11,1,0
12,3,89,0,0,0.23,0.23,2,0,4,13,1,0
13,3,90,0,1,0.03,0.08,5,0,6,22,1,0
15,3,76,1,0,0.72,0.88,10,0,3,47,1,0
16,3,1,0,0,0.0,0.01,1,0,1,3,0,0
17,3,13,0,0,0.0,0.0,0,0,0,0,0,0
19,3,23,0,0,0.08,0.02,1,0,4,1,0,0
25,3,12,0,0,0.0,0.0,1,0,1,2,0,0
26,3,77,1,0,0.27,0.27,8,0,1,38,1,0
28,3,90,0,0,0.0,0.0,3,0,0,26,1,8
31,3,90,0,0,0.0,0.01,4,0,10,15,1,0
32,3,84,0,0,0.0,0.03,6,1,1,23,1,0
33,3,90,0,0,0.11,0.02,6,1,5,28,1,0
36,3,74,0,0,0.0,0.42,7,1,3,29,1,0
37,3,90,0,0,0.0,0.08,6,1,4,28,1,0
40,3,86,1,0,0.08,0.03,6,0,5,22,1,0
41,3,74,0,0,0.61,0.05,3,1,2,2,1,0
43,3,90,0,0,0.05,0.06,2,0,7,17,1,0
45,3,90,0,0,0.68,0.03,3,1,5,6,1,0
46,3,90,0,0,0.22,0.09,3,1,6,15,1,0
47,3,90,0,0,0.0,0.07,3,1,10,20,1,0
51,3,74,0,0,0.07,0.14,3,1,7,12,1,0
52,3,15,0,0,0.0,0.0,1,0,1,3,0,0
56,3,5,0,0,0.0,0.0,1,0,1,3,0,0
57,3,90,0,0,0.0,0.0,1,0,0,0,1,0
60,3,90,0,0,0.0,0.02,1,0,6,4,1,0
61,3,90,0,0,0.01,0.06,0,0,6,-3,1,0
64,3,90,0,0,0.01,0.04,0,0,4,3,1,0
67,3,88,0,0,0.04,0.01,2,0,2,8,1,0
68,3,88,1,0,1.01,0.05,10,0,9,43,1,0
69,3,90,0,2,0.07,0.02,10,0,11,37,1,0
70,3,75,0,0,0.06,0.01,1,0,4,6,1,0
