gw,team,name,mins,rating,sot,shots,bcc,bcm,kp,xg,xa,g,a,tkl,intc,clr,saves,gprev,penWon,player,fpl_id,fpl_mins,fG,fA,fxg,fxa,Pts,CS,dc,bps,fpl_saves,team_xga,xgot,starts
1,Chelsea,Jorrel Hato,65,6.5,0,1,1,0,1,0.014,0.0336737,0,0,2,0,1,0,0.0,0,Jorrel Hato,148,64,0,0,0.01,0.03,1,0,3,5,0,1.33,0.0,1
1,Chelsea,Josh Acheampong,90,7.1,0,0,0,0,0,0.0,0.0127477,0,0,5,1,7,0,0.0,0,Josh Acheampong,151,90,0,0,0.0,0.01,3,0,15,13,0,1.33,0.0,1
1,Chelsea,João Pedro,90,7.9,1,4,1,0,2,0.627,0.0553919,1,1,0,0,1,0,0.0,0,João Pedro,165,90,1,1,0.63,0.06,11,0,3,45,0,1.33,0.4814,1
1,Chelsea,Levi Colwill,90,6.0,0,1,0,0,0,0.0131,0.0289019,0,0,2,0,2,0,0.0,0,Levi Colwill,149,90,0,0,0.01,0.03,0,0,4,6,0,1.33,0.0,1
1,Chelsea,Malo Gusto,76,6.4,0,0,0,0,0,0.0,0.0346803,0,0,1,1,1,0,0.0,0,Malo Gusto,144,75,0,0,0.0,0.03,1,0,3,2,0,1.33,0.0,1
1,Chelsea,Maxence Lacroix,90,7.3,0,0,1,0,1,0.0,0.199823,0,1,5,2,4,0,0.0,0,Maxence Lacroix,200,90,0,1,0.0,0.2,6,0,12,25,0,1.33,0.0,1
1,Chelsea,Morgan Rogers,82,8.4,1,3,0,0,5,0.9622,0.102401,1,0,2,0,0,0,0.0,0,Morgan Rogers,40,81,1,0,0.96,0.1,8,0,7,37,0,1.33,0.9933,1
1,Chelsea,Pedro Neto,14,7.1,0,1,0,0,0,0.0276,0.0691625,0,0,1,0,0,0,0.0,0,Pedro Neto,156,14,0,0,0.03,0.07,1,0,4,9,0,1.33,0.0,0
1,Chelsea,Pep Chavarría,25,6.5,0,0,0,0,0,0.0,0.00039826,0,0,0,0,1,0,0.0,0,Pep Chavarría,583,25,0,0,0.0,0.0,1,0,1,3,0,1.33,0.0,0
1,Chelsea,Reece James,90,6.7,1,2,0,0,1,0.103,0.0702525,0,0,0,2,2,0,0.0,0,Reece James,142,90,0,0,0.1,0.07,0,0,6,5,0,1.33,0.0214,1
1,Chelsea,Robert Sánchez,90,5.8,0,0,0,0,0,0.0,0.00639656,0,0,0,0,1,4,-0.8287,0,Robert Sánchez,140,90,0,0,0.0,0.01,2,0,0,6,4,1.33,0.0,1
1,Chelsea,Roméo Lavia,65,6.9,1,1,0,1,2,0.2087,0.0308349,0,0,3,1,1,0,0.0,0,Roméo Lavia,161,64,0,0,0.21,0.03,1,0,9,8,0,1.33,0.3301,1
1,Coventry City,Aurèle Amenda,90,7.1,0,0,0,0,0,0.0,0.00576211,0,0,0,0,6,0,0.0,0,Aurèle Amenda,182,90,0,0,0.0,0.01,1,0,9,1,0,1.88,0.0,1
1,Coventry City,Bobby Thomas,90,7.1,0,1,0,0,1,0.0183,0.0136288,0,0,1,0,7,0,0.0,0,Bobby Thomas,173,90,0,0,0.02,0.01,3,0,10,11,0,1.88,0.0,1
1,Coventry City,Brandon Thomas-Asante,70,6.3,0,0,0,0,0,0.0,0.0168997,0,0,0,4,1,0,0.0,0,Brandon Thomas-Asante,194,69,0,0,0.0,0.02,2,0,6,9,0,1.88,0.0,1
1,Coventry City,Caleb Yirenkyi,62,6.1,0,0,0,0,0,0.0,0.00450728,0,0,0,0,0,0,0.0,0,Caleb Yirenkyi,575,61,0,0,0.0,0.0,1,0,3,2,0,1.88,0.0,1
1,Coventry City,Carl Rushworth,90,7.0,0,0,0,0,0,0.0,0.00588625,0,0,0,0,1,2,-0.5631,0,Carl Rushworth,110,90,0,0,0.0,0.01,1,0,0,0,2,1.88,0.0,1
1,Coventry City,Ellis Simms,70,6.6,0,0,0,0,1,0.0,0.00676704,0,0,0,0,1,0,0.0,0,Ellis Simms,195,69,0,0,0.0,0.01,2,0,3,7,0,1.88,0.0,1
1,Coventry City,Frank Onyeka,90,6.3,0,0,0,0,0,0.0,0.00505671,0,0,1,3,0,0,0.0,0,Frank Onyeka,104,90,0,0,0.0,0.01,2,0,9,8,0,1.88,0.0,1
1,Coventry City,Gustavo Hamer,8,6.5,0,0,0,0,0,0.0,0.0014841,0,0,0,0,0,0,0.0,0,Gustavo Hamer,584,8,0,0,0.0,0.0,1,0,1,3,0,1.88,0.0,0
