,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
119,Emiliano Martínez,Chelsea,GK,270,90.0,5.0,0,0,0,1,0,0.0,0.0,0.0,0.01,0.39,7.0,7.0,8.2,0.62,10.7,18.0,0,0.0,0.0,0,0.02,0.01,0.39,0.13,15,-0.84,7.77,28.0,1.0
120,Bernd Leno,Fulham,GK,360,90.0,4.5,1,0,0,4,0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.66,13.6,14.8,0,0.0,0.0,0,0.01,0.0,0.0,0.0,11,-0.19,6.55,250.0,1.0
121,Đorđe Petrović,Bournemouth,GK,360,90.0,4.5,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,1.36,12.4,8.2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,-1.02,6.58,57.0,1.0
122,Carl Rushworth,Coventry City,GK,360,90.0,4.5,0,0,0,4,0,0.0,0.0,0.0,0.02,0.01,5.0,5.1,5.0,0.82,8.3,4.5,0,0.0,0.0,0,0.02,0.0,0.01,0.0,7,-2.01,6.7,110.0,1.0
123,Matz Sels,Nott'm Forest,GK,360,90.0,5.0,1,0,0,6,0,0.0,0.0,0.0,0.01,0.0,12.0,12.0,12.0,1.59,14.4,14.2,0,0.0,0.0,0,0.01,0.0,0.0,0.0,9,-0.16,6.83,467.0,1.0
124,Senne Lammens,Man Utd,GK,360,90.0,4.9,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,1.19,11.8,9.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,-0.55,6.78,412.0,1.0
125,Robin Roefs,Sunderland,GK,360,90.0,5.0,1,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,11.0,12.2,0,0.0,0.0,0,0.01,0.0,0.0,0.0,5,-0.38,6.85,529.0,1.0
126,Kjell Scherpen,Ipswich Town,GK,360,90.0,4.5,0,0,1,7,0,0.0,0.0,0.0,0.01,0.0,7.0,7.0,7.0,1.56,13.2,10.0,0,0.0,0.0,0,0.01,0.0,0.0,0.0,15,-2.51,7.03,564.0,1.0
127,Jordan Pickford,Everton,GK,360,90.0,5.5,2,0,0,6,0,0.0,0.0,0.0,0.02,0.01,17.0,17.1,17.0,1.26,14.0,21.8,0,0.0,0.0,0,0.02,0.0,0.01,0.0,11,1.02,7.08,226.0,1.0
128,Caoimhin Kelleher,Brentford,GK,360,90.0,5.0,1,0,0,5,0,0.0,0.0,0.0,0.01,0.0,14.0,14.0,14.0,1.15,14.6,17.5,0,0.0,0.0,0,0.01,0.0,0.0,0.0,15,0.32,7.18,82.0,1.0
129,Alisson,Liverpool,GK,360,90.0,5.5,2,0,0,6,0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,1.28,16.1,16.5,0,0.0,0.0,0,0.01,0.0,0.0,0.0,12,0.01,7.2,350.0,1.0
130,David Raya,Arsenal,GK,360,90.0,6.0,3,0,0,6,0,0.0,0.0,0.0,0.01,0.0,29.0,29.0,29.0,2.38,26.5,24.5,0,0.0,0.0,0,0.01,0.0,0.0,0.0,7,1.04,7.33,1.0,1.0
131,Konstantinos Tzolakis,Hull City,GK,360,90.0,4.6,3,0,0,2,0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.98,19.9,28.2,0,0.0,0.0,0,0.01,0.0,0.0,0.0,14,1.74,7.53,572.0,1.0
132,Bart Verbruggen,Brighton,GK,360,90.0,4.5,2,0,0,3,0,0.0,0.0,0.0,0.2,0.06,17.0,17.6,17.2,1.15,13.8,20.0,0,0.0,0.0,0,0.21,0.05,0.06,0.02,10,1.43,7.55,109.0,1.0
133,Gianluigi Donnarumma,Man City,GK,360,90.0,5.5,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,1.66,15.6,18.8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1.78,7.65,384.0,1.0
134,Robert Sánchez,Chelsea,GK,90,90.0,4.9,0,0,0,1,0,0.0,0.0,0.0,0.01,0.0,2.0,2.0,2.0,0.26,3.0,6.0,0,0.0,0.0,0,0.01,0.01,0.0,0.0,4,-0.83,5.8,140.0,1.0
